alpha_deg,beta_deg,ax_m2,ay_m2,az_m2,bx_m3,by_m3,bz_m3
-26.0,-30.0,-0.037814136108707784,0.06302433815949436,-0.006016315151890794,0.009717766091030927,0.0026781323074484015,0.0036909162649503254
-26.0,-20.0,-0.04847529625901951,0.05258518559756509,-0.020435458626831975,0.009240954990428246,0.004544165218017323,0.0024416404598160894
-26.0,-10.0,-0.0598234950524949,0.03974325624741491,0.01842343007604011,0.008902668918024968,0.007150993885672375,0.0013983191884019584
-26.0,-0.0,-0.0636414751248383,0.0,0.028441437682431996,0.0,0.007905547244092545,0.0
-26.0,10.0,-0.0598234950524949,-0.03974325624741491,0.01842343007604011,-0.008902668918024968,0.007150993885672375,-0.0013983191884019584
-26.0,20.0,-0.04847529625901951,-0.05258518559756509,-0.020435458626831975,-0.009240954990428246,0.004544165218017323,-0.0024416404598160894
-26.0,30.0,-0.037814136108707784,-0.06302433815949436,-0.006016315151890794,-0.009717766091030927,0.0026781323074484015,-0.0036909162649503254
-20.0,-30.0,-0.07608600715631356,0.02724150029392904,0.0065355702056777275,0.0005624978433836794,0.011997584927837661,0.0006919635888786467
-20.0,-20.0,-0.07298554847590236,0.016853373705302738,0.001898041551696595,-9.690525048813984e-05,0.01051334927157066,0.0005705506899497154
-20.0,-10.0,-0.05924844339160145,0.002751747725367763,-0.00702415628341138,-0.0020442736820686495,0.005708048463720012,0.0007646195298180909
-20.0,-0.0,-0.04982818558144991,0.0,-0.002394918510276055,0.0,0.003058227555055393,0.0
-20.0,10.0,-0.05924844339160145,-0.002751747725367763,-0.00702415628341138,0.0020442736820686495,0.005708048463720012,-0.0007646195298180909
-20.0,20.0,-0.07298554847590236,-0.016853373705302738,0.001898041551696595,9.690525048813984e-05,0.01051334927157066,-0.0005705506899497154
-20.0,30.0,-0.07608600715631356,-0.02724150029392904,0.0065355702056777275,-0.0005624978433836794,0.011997584927837661,-0.0006919635888786467
-10.0,-25.0,-0.05550963739587473,0.0328475599211626,-0.005853237708498472,0.004063269269630725,0.006319233378122498,0.0009691520269778703
-10.0,-20.0,-0.05453034811395504,0.03264685344985072,0.0004971214505310316,0.0048388056872524345,0.005805583854758791,0.0007579028194386756
-10.0,-15.0,-0.052175762071342995,0.031926287459625766,0.005037517816358687,0.005980765865500149,0.004912651828238919,0.000657176929453512
-10.0,-10.0,-0.0534690468118734,0.028733544526640335,0.005546104772769513,0.0062824850067994455,0.005179679474455539,0.00014631240046070591
-10.0,-5.0,-0.05228576321573725,0.019625982032119293,0.01481407671243732,0.004906744136922293,0.004394683425003486,-0.0002466832485325297
