time_s,windN,windE,x,y,z,roll,pitch,yaw
13.554000000000002,0.0,0.0,0.0,0.0,0.0,0.5619573846596041,1.8064673949940877,4.673081440318045
13.655999999999999,0.0,0.0,0.0,0.0,0.0,0.5603826801204922,1.8046828727099404,4.685606726404957
13.757000000000001,0.0,0.0,-0.02295340941296471,0.0,-0.010000000000047748,0.5610827955310835,1.806058336429206,4.688458169010344
13.859000000000002,0.0,0.0,-0.02295340941296471,0.0,-0.010000000000047748,0.5605266765417806,1.8359783310675,4.680545185692621
13.959,0.0,0.0,-0.04590681882592942,0.022238985558309388,-0.027000000000043656,0.5576326115517263,1.8371092064553047,4.683963586240615
14.059000000000001,0.0,0.0,-0.04590681882592942,0.022238985558309388,-0.027000000000043656,0.5543197661074906,1.784553721586733,4.688397200433519
14.158999999999999,0.0,0.0,-0.0535579553171967,0.0,-0.016000000000019554,0.553491200564204,1.7863379090101514,4.70105349252566
14.260000000000002,0.0,0.0,-0.0535579553171967,0.0,-0.016000000000019554,0.5571953048339408,1.811235800701976,4.704265097328409
14.361,0.0,0.0,-0.0535579553171967,-0.01111949242549315,-0.009000000000014552,0.5578040543214595,1.8126220463069844,4.701919969207521
14.463000000000001,0.0,0.0,-0.0535579553171967,-0.01111949242549315,-0.009000000000014552,0.5547613574833721,1.8335725715894855,4.708835201626082
14.562999999999999,0.0,0.0,-0.06886022823889412,-0.0222389848509863,-0.008000000000038199,0.5571482299296011,1.8344102710613792,4.716499663647887
14.663,0.0,0.0,-0.06886022823889412,-0.0222389848509863,-0.008000000000038199,0.5623841064285534,1.8350508306595257,4.713799742988161
14.763000000000002,0.0,0.0,-0.0841625012214287,-0.01111949242549315,-0.02400000000000091,0.5585821239553279,1.8374646649298536,4.713412641350608
14.864,0.0,0.0,-0.0841625012214287,-0.01111949242549315,-0.02400000000000091,0.5398139678611021,1.80338034961735,4.719619494179981
14.965,0.0,0.0,-0.09181363765185883,-0.0222389848509863,-0.02400000000000091,0.5402746872574637,1.798091846296281,4.721178411409636
15.067,0.0,0.0,-0.09181363765185883,-0.0222389848509863,-0.02400000000000091,0.5379289342084538,1.805968184016866,4.726876775542435
15.167000000000002,0.0,0.0,-0.1071159106343934,-0.01111949242549315,-0.012000000000000455,0.5642845644039675,1.8576417547054935,4.722340597111204
15.267,0.0,0.0,-0.1071159106343934,-0.01111949242549315,-0.012000000000000455,0.5624678410384376,1.8555466691073528,4.731647348016839
15.368000000000002,0.0,0.0,-0.11476704706482353,-0.01111949242549315,-0.009000000000014552,0.5609192904918885,1.8202303841727476,4.733205292216629
15.468,0.0,0.0,-0.11476704706482353,-0.01111949242549315,-0.009000000000014552,0.5617097718492889,1.8235941219747305,4.739083698289742
15.568000000000001,0.0,0.0,-0.11476704706482353,-0.01111949242549315,-0.009000000000014552,0.5592941805368117,1.8083499939025371,4.735740643807372
15.671,0.0,0.0,-0.13006932010819525,-0.01111949242549315,0.002999999999985903,0.5591149929553777,1.8063476074004068,4.743216752937596
15.771,0.0,0.0,-0.13006932010819525,-0.01111949242549315,0.002999999999985903,0.5642360467488223,1.8571003692180956,4.750220710574109
15.870999999999999,0.0,0.0,-0.13772045647778824,-0.01111949242549315,0.016999999999995907,0.5615116297160878,1.8507568016633615,4.756602716247636
15.972000000000001,0.0,0.0,-0.14537159296905552,-0.01111949242549315,0.026999999999986812,0.5576953689429704,1.8183690662084468,4.757730353835968
16.072,0.0,0.0,-0.14537159296905552,-0.01111949242549315,0.026999999999986812,0.5572076705363739,1.8226472879852904,4.755069231658396
16.174,0.0,0.0,-0.14537159296905552,-0.01111949242549315,0.026999999999986812,0.540761898024344,1.8488982145550497,4.7662788112059955
16.275000000000002,0.0,0.0,-0.15302272952115994,-0.01111949242549315,0.03299999999995862,0.5370226288893744,1.85102709998262,4.773914851963348
16.375,0.0,0.0,-0.15302272952115994,-0.01111949242549315,0.03299999999995862,0.5533540662839174,1.8354985195845697,4.772679720147899
16.475,0.0,0.0,-0.16067386601242725,0.0,0.047999999999944976,0.5542706332139719,1.8350089064477544,4.775650724898081
16.576,0.0,0.0,-0.16067386601242725,0.0,0.047999999999944976,0.5529513863323244,1.819265870217732,4.778225499958186
16.676000000000002,0.0,0.0,-0.17597613893412467,0.01111949242549315,0.08399999999994634,0.5532111875362519,1.815362499225846,4.790212569976426
16.778,0.0,0.0,-0.17597613893412467,0.01111949242549315,0.08399999999994634,0.5383381456935648,1.836214730422808,4.796311148490257
16.879,0.0,0.0,-0.18362727542539195,0.03335847798380254,0.10899999999998045,0.538553110465199,1.838994962747104,4.791621648648287
16.98,0.0,0.0,-0.18362727542539195,0.03335847798380254,0.10899999999998045,0.5501054574717376,1.8115691222230592,4.799594766017693
17.080000000000002,0.0,0.0,-0.19892954834708937,0.044477971116618775,0.13999999999998636,0.5503942581525391,1.8183758811957027,4.809647317955922
17.18,0.0,0.0,-0.19892954834708937,0.044477971116618775,0.13999999999998636,0.5553914118572402,1.84891012567484,4.816447636746881
